agent;pre_movement_s;movement_s;total_s
Agent 44;30.00;785.00;815.00
Agent 81;41.50;888.00;929.50
Agent 58;42.50;913.00;955.50
Agent 6;45.00;735.00;780.00
Agent 85;47.50;927.00;974.50
Agent 82;54.00;929.00;983.00
Agent 61;51.00;736.00;787.00
Agent 91;40.00;909.50;949.50
Agent 36;56.00;930.00;986.00
Agent 27;38.00;951.00;989.00
Agent 98;37.50;922.00;959.50
Agent 0;49.50;961.00;1010.50
Agent 52;51.50;931.00;982.50
Agent 89;39.00;901.50;940.50
Agent 73;30.00;1340.50;1370.50
Agent 39;44.00;1186.00;1230.00
Agent 33;47.00;1367.00;1414.00
Agent 84;42.00;1389.00;1431.00
Agent 95;56.00;1295.50;1351.50
Agent 55;38.00;1364.50;1402.50
Agent 32;57.00;1469.50;1526.50
Agent 22;39.50;1479.00;1518.50
Agent 62;53.50;1528.50;1582.00
Agent 47;46.00;1402.00;1448.00
Agent 26;35.00;1475.00;1510.00
Agent 66;45.50;1509.00;1554.50
Agent 40;40.50;1419.00;1459.50
Agent 5;59.00;1419.00;1478.00
Agent 56;45.00;1670.00;1715.00
Agent 24;55.50;1514.50;1570.00
Agent 50;52.50;1673.00;1725.50
Agent 60;41.00;1381.00;1422.00
Agent 88;33.50;1735.50;1769.00
Agent 13;43.00;1444.00;1487.00
Agent 42;47.50;1825.00;1872.50
Agent 57;30.50;1939.50;1970.00
Agent 31;30.50;1949.00;1979.50
Agent 94;55.50;2088.50;2144.00
Agent 72;57.00;2043.00;2100.00
Agent 4;39.50;2063.50;2103.00
Agent 51;59.50;2157.50;2217.00
Agent 7;37.00;2149.00;2186.00
Agent 67;49.50;1991.00;2040.50
Agent 79;50.50;1847.50;1898.00
Agent 53;43.50;2047.00;2090.50
Agent 45;30.50;2064.50;2095.00
Agent 1;58.50;2200.00;2258.50
Agent 18;44.00;2224.00;2268.00
Agent 2;54.50;2390.00;2444.50
Agent 54;47.00;2172.50;2219.50
Agent 37;41.50;2553.00;2594.50
Agent 17;41.00;2555.00;2596.00
Agent 69;40.50;2208.00;2248.50
Agent 80;35.50;2632.00;2667.50
Agent 49;44.50;2740.00;2784.50
Agent 10;39.50;2657.50;2697.00
Agent 64;57.50;2771.50;2829.00
Agent 43;42.50;2931.50;2974.00
Agent 74;32.50;2336.00;2368.50
Agent 8;57.50;3113.00;3170.50
Agent 71;52.50;2790.00;2842.50
Agent 75;42.50;2885.00;2927.50
Agent 86;60.00;2742.00;2802.00
Agent 34;39.00;2663.00;2702.00
Agent 97;50.00;2919.00;2969.00
Agent 9;59.50;2854.00;2913.50
Agent 76;38.00;3249.00;3287.00
Agent 23;39.50;2806.00;2845.50
Agent 30;36.50;3316.50;3353.00
Agent 35;46.00;3106.00;3152.00
Agent 68;47.50;3314.00;3361.50
Agent 93;42.00;2882.00;2924.00
Agent 92;42.50;3598.00;3640.50
Agent 19;32.50;3441.00;3473.50
Agent 15;33.50;2727.00;2760.50
Agent 28;53.00;3596.00;3649.00
Agent 16;32.00;3550.00;3582.00
Agent 63;34.00;3712.00;3746.00
Agent 11;55.50;3480.00;3535.50
Agent 59;47.50;3577.00;3624.50
Agent 48;30.50;3340.50;3371.00
Agent 41;60.00;3913.00;3973.00
Agent 90;46.50;3483.00;3529.50
Agent 12;52.50;3951.00;4003.50
Agent 14;36.50;3985.00;4021.50
Agent 65;31.00;3813.50;3844.50
Agent 46;52.50;4336.00;4388.50
Agent 99;46.50;4017.00;4063.50
Agent 77;57.00;4093.00;4150.00
Agent 78;42.50;4789.00;4831.50
Agent 29;58.00;4622.00;4680.00
Agent 21;44.50;4714.00;4758.50
Agent 25;42.00;4577.00;4619.00
Agent 83;55.00;4978.00;5033.00
Agent 87;52.50;5018.00;5070.50
Agent 38;32.50;5427.00;5459.50
Agent 20;41.00;5853.00;5894.00
Agent 96;34.00;5678.00;5712.00
Agent 70;50.00;6422.00;6472.00
Agent 3;50.00;6012.00;6062.00
